geo,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
cub,Cuba,749.22,761.11,770.48,794.41,840.16,835.22,876.82,913.64,926.2,948.54,980.63,1037.06,1084.41,1096.36,1125.24,1123.51,1176.69,1137.75,1116.45,1162.21,1178.38,1217.27,1252.98,1287.54,1328.84,1351.7,1387.53,1461.85,1513.89,1575.83,1619.2,1611.37,1658.88,1656.61,1718.5,1723.54,1727.67,1751.01,1812.22,1874.52,1957.19,2251.4,1878.4,1985.48
cyp,Cyprus,109.15,98.23,95.47,107.35,101.27,110.86,93.36,99.45,99.18,104.31,99.48,104.09,114.23,111.68,118.97,120.42,126.55,134.13,143.68,146.81,148.69,147.51,155.99,165.44,167.8,183.03,182.5,190.02,184.9,181.87,182.59,191.16,195.05,190.95,199.61,212.95,200.25,218.54,218.39,228.74,232.94,248.22,250.4,230.93
cze,Czech Republic,1732.88,1754.13,1770.08,1787.87,1835.85,1917.19,1980.25,1987.84,1969.36,1986.35,2029.69,2051.26,2038.26,2086.51,2133.11,2155.51,2108.69,2097.79,2103.85,2099.52,2094.89,2099.83,2152.72,2152.36,2181.34,2135.47,2089.41,1998.57,1969.34,1945.93,1942.44,1927.28,1899.89,1897.07,1850.79,1870.42,1890.87,1898.79,1911,1965.34,2022.16,2033.68,2030.88,1950.54
deu,Germany,18783.39,19204.38,19329.31,19608.92,19550.84,19936.46,20506.68,20558.51,20756.11,20644.62,20851.77,21286.49,21169.16,21578.11,21491.9,21446.86,21562.09,20988.42,20644.59,20476.79,20390.5,20169.07,20272.53,20177.89,19932.77,20055.38,19813.53,19614.03,20026.44,20052.98,20226.81,20136.76,20289.65,20621.97,20204.65,21153.85,21134.74,21436.04,21872.25,21678.82,22009.2,22267.72,22976.47,23340.04
dji,Djibouti,10.23,11.02,11.67,12.19,12.77,13.46,13.88,14.72,15.39,16.07,16.91,17.55,18.98,22.32,19.71,21.43,21.19,20.52,20.93,20.7,20.74,20.73,20.93,20.46,22.34,23.3,24.77,27.03,29.25,30.75,33.4,35.9,39.12,42.41,44.62,50.07,54.19,61.13,64.5,70.31,71.23,78.05,87.97,98.76
dma,Dominica,5.25,5.39,5.54,5.76,5.98,6.24,6.51,6.83,7.13,7.46,7.89,8.04,8.16,8.33,8.51,8.67,8.76,8.64,8.66,8.74,8.82,8.93,9.1,9.34,9.35,9.15,9.55,9.89,10.3,10.77,11,10.82,11.4,11.32,11.29,11.82,12,11.7,11.76,12.07,12.59,12.47,12.36,13.07
dnk,Denmark,1927.68,1950.38,1976.77,2023.66,2077.75,2122.82,2150.74,2183.38,2219.38,2245.56,2213.79,2236.31,2273.13,2171.35,1780.05,1772.71,1728.94,1697.84,1659.18,1627.2,1621.02,1620.45,1639.65,1571.22,1524.79,1510.26,1510.85,1528.85,1474.05,1479.41,1471.2,1442.54,1385.3,1372.11,1364.92,1368.57,1379.4,1391.03,1378.45,1396.98,1413.38,1508.67,1557.34,1530.31
dom,Dominican Republic,211.91,219.54,227.64,236.56,242.63,248.73,260.36,266.82,274.47,285.59,293.53,296.96,298.76,297.71,302.28,307.88,316.2,323.69,332.34,348.38,370.26,400.98,426.55,440.42,455.6,471.35,493.44,523.39,557.27,589.39,621.31,657.87,686.36,705.13,726.63,767.49,807.96,846.33,880.67,917.47,955.4,1027.73,1092.88,1160.1
dza,Algeria,295.15,311.36,331.75,362.34,399.06,441.35,476.39,504.14,534.51,568.67,601.78,620.28,649.32,682.71,712.05,749.07,779.09,809.82,849.62,884.38,924.41,966,1015.45,1081.28,1158.21,1239.98,1310.3,1380.01,1450.01,1521.01,1589.76,1667.65,1739.23,1813.99,1884.69,1978.61,2064.42,2203.36,2347.22,2493.52,2444.36,2492.6,2654.32,2793.02
ecu,Ecuador,154.55,166.34,178.76,181.01,182.13,196.16,212.91,224.72,233.59,251.99,266.36,287.17,292,303.41,332.89,371.84,430.68,445.85,469.79,508.07,537.64,562.84,562.62,603.16,597.6,625.97,671.65,657.79,677.88,697.26,703.55,696.98,738.6,745.31,741.71,739.18,777.32,812.61,867.35,952.86,941.27,979.97,985.22,1051.72
egy,Egypt,702.53,754.68,825.08,879.73,949.78,1033.35,1138.69,1181.64,1210.46,1239.91,1287.62,1333.51,1394.52,1479.31,1539.89,1600.05,1674.16,1770.27,1875.56,1943.97,2044.17,2253.47,2535.71,2897.21,3216.92,3471.55,3701.72,3865.87,4044.24,4195.38,4275.84,4429.37,4553.35,4479.91,4740.69,5069.34,5175.56,5262.96,5369.97,5422.94,5534.91,6035.62,7636.23,8092.02
eri,Eritrea,95.1,98.46,101.75,103.99,105.81,108.22,111.84,116,120.17,124.09,129.23,133.99,131.29,126.54,131.17,137.88,145.75,153.85,159.31,166.08,172.81,175.9,186.75,193.07,205.96,218.67,231.02,245.52,260.42,275.39,289.9,307.95,327.63,344.11,361.5,384.33,402.1,424.83,452.68,478,499.66,503.36,602.59,641.72
esp,Spain,4666.56,4751.84,4942.7,5259.92,5551.38,5833.36,6075.96,6248.92,6476.76,6631.52,6784.11,6856.75,6882.1,7078.51,7059.33,7099.27,7022.43,6902.05,6943.31,6942.05,6869.48,6934.74,6987.38,7160.79,7005.01,7069.34,7058.33,7227.85,7311.52,7325.99,7335,7330.52,7451.6,7332.33,7236.7,7418.63,7312.22,7446.38,7569.55,7451.55,7663.44,7410.06,8003.64,7887.96
est,Estonia,222.87,223.92,218.59,202.09,219.36,239.08,248.73,253.74,263.36,283.86,295.55,313.27,310.49,289.69,254.06,260.7,267.2,263.71,261.28,267.16,273.71,268.98,269.65,261.22,260.84,257.92,247.9,243.33,250.72,255.9,252.81,262.13,264.11,244.85,249.93,244.83,244.19,257.47,253.21,248.99,247.86,253.23,248.57,246.99
eth,Ethiopia,764.1,788.09,819.39,855.93,892.89,936.19,982.41,1040.69,1100.08,1152.53,1208.12,1260.56,1321.27,1385.42,1436.43,1490.45,1556.7,1611.82,1662.21,1709.04,1762.16,1818.74,1859.56,1899.21,1970.43,2100.33,2284.34,2514.41,2769.95,2984.71,3241.39,3467.19,3655.57,3885.89,4124.34,4308.73,4582.97,4946.14,5395.04,5874.35,6084.81,6575.41,8297.46,9400.28
fin,Finland,685.57,697.56,711.54,732.24,755.43,791.8,839.04,869.46,908.79,903.7,909.4,901.44,932.87,942.77,936.1,956.89,921.62,916.16,922.54,949.79,946.57,956.06,946.89,947.22,946.83,957.06,980.61,974.82,966.86,964.65,999.07,991.21,1015.81,1018.04,1004.85,1016.91,1056.34,1078.26,1070.94,1082.65,1125.01,1136.19,1146.72,1222.4
fji,Fiji,43.17,42.85,44.55,46.08,47.81,47.64,47.61,49.49,51.6,53.93,56.39,59.23,62.27,64.75,67.48,70.49,73.46,76.95,82.19,86.26,89.72,95.25,98.5,104.67,110.07,114.34,117.96,122.95,127.22,132.32,136.59,141.16,144.19,146.24,148.61,152.09,154.78,156.98,161.81,164.68,168.7,170.5,184.85,194.2
fra,France,11251.33,11703.62,11785.41,12170.56,11965.06,12123.14,12269.23,12266.3,12474.79,12633.45,12652.69,12711.11,12849.85,13156.25,13067.88,13266.17,13375.34,13244.43,13398.99,13758.03,13892.7,14032.91,14355.14,14712.35,14025.61,14337.22,14246.73,14272.13,14600.6,14643.25,14675.39,14321.46,14712.2,14719.01,14688.17,15404.13,15470.76,15740.35,15815.04,15858.01,15696.81,15078.16,16683.24,16697.32
fsm,"Micronesia, Fed. Sts.",4.55,4.58,4.61,4.69,4.72,4.77,4.86,4.97,5.12,5.29,5.43,5.63,5.8,6.02,6.25,6.44,6.69,6.92,7.18,7.4,7.98,7.84,8.1,8.3,8.51,8.65,8.78,8.88,8.95,9.07,9.22,9.44,9.68,9.92,10.13,10.35,10.58,10.82,11,11.16,11.48,12.67,12.04,12.47
gab,Gabon,47.21,50.85,55.38,61.52,61.62,63.65,64.95,67.28,67.85,68.89,67.35,71.48,73.47,70.49,71.76,75.25,74.4,77.15,78.05,76.25,78.83,81.7,86.41,89.53,94.94,106.6,114.37,117.5,120.21,126.05,128.96,133.28,149.26,173.62,190.12,199.49,202.04,205.15,209.13,219.87,233.3,251.01,300.67,330.55
gbr,UK,15812.29,15833.62,16049.59,16221.83,16588.58,17198.03,17329.25,17332.23,17616.83,18030.34,17594.98,17798.39,17586.16,17772.68,17185.99,17170.95,16816.73,16492.02,16371.03,16278.72,15848.69,15818.57,15707.36,15548.78,14930.54,14937.03,14723.03,14636.14,14711.84,14161.24,14116.15,13967.96,14160.02,14022.51,13767.95,14195.65,14127.88,14210.19,14419.06,14168.79,14479.39,13859.25,14352.5,15536.91
geo,Georgia,671.63,684.84,684.54,715.25,771.17,808.41,845.47,896.58,938.59,968.46,955.13,924.07,908.39,839.73,785.52,753.03,752.79,772.45,829.06,879.76,893.2,907.34,908.29,871.37,825.69,768.39,793.04,791.21,839.3,885.78,933.33,975.56,988.23,974.59,979.86,1047.74,1113.95,1090.73,1030.26,978.86,989.41,957.31,903.6,864.75
gha,Ghana,446.2,470.04,494.82,517.23,544.06,574.17,607.26,637.75,670.31,702.59,730.91,753.3,778.84,808.89,837.43,840.58,847.17,852.3,867.65,867.96,880.31,891.53,915.16,916.5,944.61,992.12,1058.19,1102.7,1129.33,1158.62,1191.55,1272.91,1324.63,1359.31,1373.25,1419.73,1490.47,1555.06,1701.39,1858.9,1987.95,2184.4,2580.38,2814.81
gin,Guinea,142.33,147.82,156,156.2,161.71,169.67,181.41,189.63,197.62,207.01,215.49,224.77,235.41,245.71,254.97,265.13,271.08,274.78,278.51,279.74,281.51,279.94,278.85,278.21,277.33,283.47,298.25,305.32,315.62,331.31,347.18,361.41,380.44,400.39,417.6,431.58,448.56,466.06,494.57,544.31,559.4,596.73,744.71,808.02
